2 	0.05 	-9.99832e-18 	0.350078
2 	0.15 	-9.99832e-18 	0.350934
2 	0.25 	-1.1733e-17 	0.351396
2 	0.35 	-1.34678e-17 	0.352127
2 	0.45 	-1.34678e-17 	0.3528
2 	0.55 	-1.1733e-17 	0.353532
2 	0.65 	-9.99832e-18 	0.354273
2 	0.75 	-9.99832e-18 	0.355022
2 	0.85 	-9.99832e-18 	0.355768
2 	0.95 	-9.85638e-18 	0.356499
2 	1.05 	3.18558e-18 	0.357207
2 	1.15 	1.45086e-18 	0.357879
2 	1.25 	-1.15123e-18 	0.358506
2 	1.35 	-2.01859e-18 	0.359079
2 	1.45 	-1.15123e-18 	0.359588
2 	1.55 	-2.83864e-19 	0.360025
2 	1.65 	1.45086e-18 	0.360384
2 	1.75 	1.45086e-18 	0.360659
2 	1.85 	1.45086e-18 	0.360844
2 	1.95 	3.32752e-18 	0.360938
2 	2.05 	-1.68268e-17 	0.360938
2 	2.15 	-1.77573e-17 	0.360844
2 	2.25 	-1.77573e-17 	0.360659
2 	2.35 	-1.86246e-17 	0.360384
2 	2.45 	-1.86246e-17 	0.360025
2 	2.55 	-1.86246e-17 	0.359588
2 	2.65 	-1.79307e-17 	0.359079
2 	2.75 	-1.72368e-17 	0.358506
2 	2.85 	-1.72368e-17 	0.357879
2 	2.95 	-1.71738e-17 	0.357207
2 	3.05 	-1.29e-17 	0.356499
2 	3.15 	-1.29e-17 	0.355768
2 	3.25 	-1.29e-17 	0.355022
2 	3.35 	-1.22061e-17 	0.354273
2 	3.45 	-1.15123e-17 	0.353532
2 	3.55 	-1.15123e-17 	0.3528
2 	3.65 	-9.77753e-18 	0.352127
2 	3.75 	-7.86934e-18 	0.351396
2 	3.85 	-5.96114e-18 	0.350934
2 	3.95 	-5.20417e-18 	0.350078
